                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.8034,                0.36546,                      0,                 0.8623,                0.91975,                0.92364,                0.80282,                0.90571,                  0.407,                0.88272,                0.84507,                0.93049,                0.82752,                 1.8745,                0.39138,                      0,                0.90074,                0.92384,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.8431,                0.38886,                      0,                0.90209,                0.91651,                0.88384,                0.78873,                0.88476,                0.40565,                0.90365,                0.81221,                0.92589,                0.84102,                 1.8981,                0.38419,                      0,                0.91323,                0.93126,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.8451,                0.36599,                      0,                0.86941,                0.90996,                0.89742,                0.81221,                0.90939,                0.43738,                0.90815,                 0.8216,                0.93911,                 0.8461,                 1.8421,                0.39138,                      0,                0.88893,                0.92395,              0.0018337,              0.0018337,              0.0018337
                     45,                  1.765,                0.35167,                      0,                0.85609,                 0.9179,                0.88287,                0.83568,                 0.9188,                0.44074,                0.90227,                0.86684,                 0.9501,                0.86714,                 1.8182,                0.34317,                      0,                0.84427,                 0.9239,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.7605,                0.36901,                      0,                0.83044,                0.91274,                0.89383,                0.83004,                0.91248,                 0.4461,                0.91893,                0.85149,                0.94821,                0.86124,                 1.7828,                0.35817,                      0,                0.81138,                0.91864,              0.0018258,              0.0018258,              0.0018258
                     47,                 1.7497,                0.36867,                      0,                0.83434,                0.90929,                0.82313,                0.85915,                0.89689,                0.43842,                 0.8591,                0.88736,                0.94139,                0.84396,                 1.8978,                0.38277,                      0,                0.82619,                0.92716,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.8222,                0.40625,                      0,                0.87497,                0.91827,                0.90394,                0.83099,                0.90352,                0.44261,                0.92144,                0.84977,                0.94256,                0.86397,                  1.759,                0.35179,                      0,                0.84867,                0.91657,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.7785,                0.37216,                      0,                0.86204,                0.91927,                0.89184,                0.87324,                0.91369,                0.45279,                0.91616,                0.89671,                0.94615,                0.86068,                 1.7893,                 0.4501,                      0,                0.81445,                 0.9159,              0.0018139,              0.0018139,              0.0018139
                     50,                 1.7093,                0.37548,                      0,                0.83512,                0.91197,                0.82049,                0.85834,                0.87595,                0.44221,                0.86051,                0.89784,                0.93894,                0.85162,                 1.7481,                 0.3493,                      0,                0.86352,                0.90752,              0.0018099,              0.0018099,              0.0018099
                     51,                 1.7667,                0.36562,                      0,                0.82389,                0.91659,                0.89816,                 0.8169,                0.91273,                0.44459,                0.87745,                0.87793,                0.94993,                0.87092,                 1.7345,                0.35233,                      0,                0.76585,                 0.9073,               0.001806,               0.001806,               0.001806
